0.601785
96 60, 0 54, 0.000000e+00 
96 60, 0 55, 0.000000e+00 
96 60, 0 56, 0.000000e+00 
96 60, 0 57, 0.000000e+00 
96 60, 0 58, 0.000000e+00 
96 60, 0 59, 0.000000e+00 
96 60, 0 60, 0.000000e+00 
96 60, 0 61, 0.000000e+00 
96 60, 0 62, 0.000000e+00 
96 60, 0 63, 0.000000e+00 
96 60, 0 64, 0.000000e+00 
96 60, 0 65, 0.000000e+00 
96 60, 0 66, 0.000000e+00 
96 60, 0 67, 0.000000e+00 
96 60, 0 68, 0.000000e+00 
96 60, 0 69, 0.000000e+00 
96 60, 0 70, 0.000000e+00 
96 60, 0 71, 0.000000e+00 
96 60, 0 72, 0.000000e+00 
96 60, 0 73, 0.000000e+00 
96 60, 0 74, 0.000000e+00 
96 60, 0 75, 0.000000e+00 
96 60, 0 76, 0.000000e+00 
96 60, 0 77, 0.000000e+00 
96 60, 0 78, 0.000000e+00 
96 60, 0 79, 0.000000e+00 
96 60, 0 80, 0.000000e+00 
96 60, 0 81, 0.000000e+00 
96 60, 0 82, 0.000000e+00 
96 60, 0 83, 0.000000e+00 
96 60, 0 84, 0.000000e+00 
96 60, 0 85, 0.000000e+00 
96 60, 0 86, 0.000000e+00 
96 60, 0 87, 0.000000e+00 
96 60, 0 88, 0.000000e+00 
96 60, 0 89, 0.000000e+00 
96 60, 0 90, 0.000000e+00 
96 60, 0 91, 0.000000e+00 
96 60, 0 92, 0.000000e+00 
96 60, 0 93, 0.000000e+00 
96 60, 0 94, 0.000000e+00 
96 60, 0 95, 0.000000e+00 
96 60, 0 96, 0.000000e+00 
96 60, 0 97, 0.000000e+00 
96 60, 0 98, 0.000000e+00 
96 60, 0 99, 0.000000e+00 
96 60, 0 100, 0.000000e+00 
96 60, 0 101, 0.000000e+00 
96 60, 0 102, 0.000000e+00 
96 60, 0 103, 0.000000e+00 
96 60, 0 104, 0.000000e+00 
96 60, 0 105, 0.000000e+00 
96 60, 0 106, 0.000000e+00 
96 60, 0 107, 0.000000e+00 
96 60, 0 108, 0.000000e+00 
96 60, 0 109, 0.000000e+00 
96 60, 0 110, 0.000000e+00 
96 60, 0 111, 0.000000e+00 
96 60, 0 112, 0.000000e+00 
96 60, 0 113, 0.000000e+00 
96 60, 0 114, 0.000000e+00 
96 60, 0 115, 0.000000e+00 
96 60, 0 116, 0.000000e+00 
96 60, 0 117, 0.000000e+00 
96 60, 0 118, 0.000000e+00 
96 60, 0 119, 0.000000e+00 
96 60, 0 120, 0.000000e+00 
96 60, 0 121, 0.000000e+00 
96 60, 0 122, 0.000000e+00 
96 60, 0 123, 0.000000e+00 
96 60, 0 124, 0.000000e+00 
96 60, 0 125, 0.000000e+00 
96 60, 0 126, 0.000000e+00 
96 60, 0 127, 0.000000e+00 
96 60, 0 128, 0.000000e+00 
96 60, 0 129, 0.000000e+00 
96 60, 0 130, 0.000000e+00 
96 60, 0 131, 0.000000e+00 
96 60, 0 132, 0.000000e+00 
96 60, 0 133, 0.000000e+00 
96 60, 0 134, 0.000000e+00 
96 60, 0 135, 0.000000e+00 
96 60, 0 136, 0.000000e+00 
96 60, 0 137, 0.000000e+00 
96 60, 0 138, 0.000000e+00 
96 60, 0 139, 0.000000e+00 
96 60, 0 140, 0.000000e+00 
96 60, 0 141, 0.000000e+00 
96 60, 0 142, 0.000000e+00 
96 60, 0 143, 0.000000e+00 
96 60, 0 144, 0.000000e+00 
96 60, 0 145, 0.000000e+00 
96 60, 0 146, 0.000000e+00 
96 60, 0 147, 0.000000e+00 
96 60, 0 148, 0.000000e+00 
96 60, 0 149, 0.000000e+00 
96 60, 0 150, 0.000000e+00 
96 60, 0 151, 0.000000e+00 
96 60, 0 152, 0.000000e+00 
96 60, 0 153, 0.000000e+00 
96 60, 0 154, 0.000000e+00 
96 60, 0 155, 0.000000e+00 
96 60, 0 156, 0.000000e+00 
96 60, 0 157, 0.000000e+00 
96 60, 0 158, 0.000000e+00 
96 60, 0 159, 0.000000e+00 
96 60, 0 160, 0.000000e+00 
96 60, 0 161, 0.000000e+00 
96 60, 0 162, 0.000000e+00 
96 60, 0 163, 0.000000e+00 
96 60, 0 164, 0.000000e+00 
96 60, 0 165, 0.000000e+00 
96 60, 0 166, 0.000000e+00 
96 60, 0 167, 0.000000e+00 
96 60, 0 168, 0.000000e+00 
96 60, 0 169, 0.000000e+00 
96 60, 0 170, 0.000000e+00 
96 60, 0 171, 0.000000e+00 
96 60, 0 172, 0.000000e+00 
96 60, 0 173, 0.000000e+00 
96 60, 0 174, 0.000000e+00 
96 60, 0 175, 0.000000e+00 
96 60, 0 176, 0.000000e+00 
96 60, 0 177, 0.000000e+00 
96 60, 0 178, 0.000000e+00 
96 60, 0 179, 0.000000e+00 
96 60, 0 180, 0.000000e+00 
96 60, 0 181, 0.000000e+00 
96 60, 0 182, 0.000000e+00 
96 60, 0 183, 0.000000e+00 
96 60, 0 184, 0.000000e+00 
96 60, 0 185, 0.000000e+00 
96 60, 0 186, 0.000000e+00 
96 60, 0 187, 0.000000e+00 
96 60, 0 188, 0.000000e+00 
96 60, 0 189, 0.000000e+00 
96 60, 0 190, 0.000000e+00 
96 60, 0 191, 0.000000e+00 
96 60, 0 192, 0.000000e+00 
96 60, 0 193, 0.000000e+00 
96 60, 0 194, 0.000000e+00 
96 60, 0 195, 0.000000e+00 
96 60, 0 196, 0.000000e+00 
96 60, 0 197, 0.000000e+00 
96 60, 0 198, 0.000000e+00 
96 60, 0 199, 0.000000e+00 
96 60, 1 0, 0.000000e+00 
96 60, 1 1, 0.000000e+00 
96 60, 1 2, 0.000000e+00 
96 60, 1 3, 0.000000e+00 
96 60, 1 4, 0.000000e+00 
96 60, 1 5, 0.000000e+00 
96 60, 1 6, 0.000000e+00 
96 60, 1 7, 0.000000e+00 
96 60, 1 8, 0.000000e+00 
96 60, 1 9, 0.000000e+00 
96 60, 1 10, 0.000000e+00 
96 60, 1 11, 0.000000e+00 
96 60, 1 12, 0.000000e+00 
96 60, 1 13, 0.000000e+00 
96 60, 1 14, 0.000000e+00 
96 60, 1 15, 0.000000e+00 
96 60, 1 16, 0.000000e+00 
96 60, 1 17, 0.000000e+00 
96 60, 1 18, 0.000000e+00 
96 60, 1 19, 0.000000e+00 
96 60, 1 20, 0.000000e+00 
96 60, 1 21, 0.000000e+00 
96 60, 1 22, 0.000000e+00 
96 60, 1 23, 0.000000e+00 
96 60, 1 24, 0.000000e+00 
96 60, 1 25, 0.000000e+00 
96 60, 1 26, 0.000000e+00 
96 60, 1 27, 0.000000e+00 
96 60, 1 28, 0.000000e+00 
96 60, 1 29, 0.000000e+00 
96 60, 1 30, 0.000000e+00 
96 60, 1 31, 0.000000e+00 
96 60, 1 32, 0.000000e+00 
96 60, 1 33, 0.000000e+00 
96 60, 1 34, 0.000000e+00 
96 60, 1 35, 0.000000e+00 
96 60, 1 36, 0.000000e+00 
96 60, 1 37, 0.000000e+00 
96 60, 1 38, 0.000000e+00 
96 60, 1 39, 0.000000e+00 
96 60, 1 40, 0.000000e+00 
96 60, 1 41, 0.000000e+00 
96 60, 1 42, 0.000000e+00 
96 60, 1 43, 0.000000e+00 
96 60, 1 44, 0.000000e+00 
96 60, 1 45, 0.000000e+00 
96 60, 1 46, 0.000000e+00 
96 60, 1 47, 0.000000e+00 
96 60, 1 48, 0.000000e+00 
96 60, 1 49, 0.000000e+00 
96 60, 1 50, 0.000000e+00 
96 60, 1 51, 0.000000e+00 
96 60, 1 52, 0.000000e+00 
96 60, 1 53, 0.000000e+00 
96 60, 1 54, 0.000000e+00 
96 60, 1 55, 0.000000e+00 
96 60, 1 56, 0.000000e+00 
96 60, 1 57, 0.000000e+00 
96 60, 1 58, 0.000000e+00 
96 60, 1 59, 0.000000e+00 
96 60, 1 60, 0.000000e+00 
96 60, 1 61, 0.000000e+00 
96 60, 1 62, 0.000000e+00 
96 60, 1 63, 0.000000e+00 
96 60, 1 64, 0.000000e+00 
96 60, 1 65, 0.000000e+00 
96 60, 1 66, 0.000000e+00 
96 60, 1 67, 0.000000e+00 
96 60, 1 68, 0.000000e+00 
96 60, 1 69, 0.000000e+00 
96 60, 1 70, 0.000000e+00 
96 60, 1 71, 0.000000e+00 
96 60, 1 72, 0.000000e+00 
96 60, 1 73, 0.000000e+00 
96 60, 1 74, 0.000000e+00 
96 60, 1 75, 0.000000e+00 
96 60, 1 76, 0.000000e+00 
96 60, 1 77, 0.000000e+00 
96 60, 1 78, 0.000000e+00 
96 60, 1 79, 0.000000e+00 
96 60, 1 80, 0.000000e+00 
96 60, 1 81, 0.000000e+00 
96 60, 1 82, 0.000000e+00 
96 60, 1 83, 0.000000e+00 
96 60, 1 84, 0.000000e+00 
96 60, 1 85, 0.000000e+00 
96 60, 1 86, 0.000000e+00 
96 60, 1 87, 0.000000e+00 
96 60, 1 88, 0.000000e+00 
96 60, 1 89, 0.000000e+00 
96 60, 1 90, 0.000000e+00 
96 60, 1 91, 0.000000e+00 
96 60, 1 92, 0.000000e+00 
96 60, 1 93, 0.000000e+00 
96 60, 1 94, 0.000000e+00 
96 60, 1 95, 0.000000e+00 
96 60, 1 96, 0.000000e+00 
96 60, 1 97, 0.000000e+00 
96 60, 1 98, 0.000000e+00 
96 60, 1 99, 0.000000e+00 
96 60, 1 100, 0.000000e+00 
96 60, 1 101, 0.000000e+00 
96 60, 1 102, 0.000000e+00 
96 60, 1 103, 0.000000e+00 
96 60, 1 104, 0.000000e+00 
96 60, 1 105, 0.000000e+00 
96 60, 1 106, 0.000000e+00 
96 60, 1 107, 0.000000e+00 
96 60, 1 108, 0.000000e+00 
96 60, 1 109, 0.000000e+00 
96 60, 1 110, 0.000000e+00 
96 60, 1 111, 0.000000e+00 
96 60, 1 112, 0.000000e+00 
96 60, 1 113, 0.000000e+00 
96 60, 1 114, 0.000000e+00 
96 60, 1 115, 0.000000e+00 
96 60, 1 116, 0.000000e+00 
96 60, 1 117, 0.000000e+00 
96 60, 1 118, 0.000000e+00 
96 60, 1 119, 0.000000e+00 
96 60, 1 120, 0.000000e+00 
96 60, 1 121, 0.000000e+00 
96 60, 1 122, 0.000000e+00 
96 60, 1 123, 0.000000e+00 
96 60, 1 124, 0.000000e+00 
96 60, 1 125, 0.000000e+00 
96 60, 1 126, 0.000000e+00 
96 60, 1 127, 0.000000e+00 
96 60, 1 128, 0.000000e+00 
96 60, 1 129, 0.000000e+00 
96 60, 1 130, 0.000000e+00 
96 60, 1 131, 0.000000e+00 
96 60, 1 132, 0.000000e+00 
96 60, 1 133, 0.000000e+00 
96 60, 1 134, 0.000000e+00 
96 60, 1 135, 0.000000e+00 
96 60, 1 136, 0.000000e+00 
96 60, 1 137, 0.000000e+00 
96 60, 1 138, 0.000000e+00 
96 60, 1 139, 0.000000e+00 
96 60, 1 140, 0.000000e+00 
96 60, 1 141, 0.000000e+00 
96 60, 1 142, 0.000000e+00 
96 60, 1 143, 0.000000e+00 
96 60, 1 144, 0.000000e+00 
96 60, 1 145, 0.000000e+00 
96 60, 1 146, 0.000000e+00 
96 60, 1 147, 0.000000e+00 
96 60, 1 148, 0.000000e+00 
96 60, 1 149, 0.000000e+00 
96 60, 1 150, 0.000000e+00 
96 60, 1 151, 0.000000e+00 
96 60, 1 152, 0.000000e+00 
96 60, 1 153, 0.000000e+00 
96 60, 1 154, 0.000000e+00 
96 60, 1 155, 0.000000e+00 
96 60, 1 156, 0.000000e+00 
96 60, 1 157, 0.000000e+00 
96 60, 1 158, 0.000000e+00 
96 60, 1 159, 0.000000e+00 
96 60, 1 160, 0.000000e+00 
96 60, 1 161, 0.000000e+00 
96 60, 1 162, 0.000000e+00 
96 60, 1 163, 0.000000e+00 
96 60, 1 164, 0.000000e+00 
96 60, 1 165, 0.000000e+00 
96 60, 1 166, 0.000000e+00 
96 60, 1 167, 0.000000e+00 
96 60, 1 168, 0.000000e+00 
96 60, 1 169, 0.000000e+00 
96 60, 1 170, 0.000000e+00 
96 60, 1 171, 0.000000e+00 
96 60, 1 172, 0.000000e+00 
96 60, 1 173, 0.000000e+00 
96 60, 1 174, 0.000000e+00 
96 60, 1 175, 0.000000e+00 
96 60, 1 176, 0.000000e+00 
96 60, 1 177, 0.000000e+00 
96 60, 1 178, 0.000000e+00 
96 60, 1 179, 0.000000e+00 
96 60, 1 180, 0.000000e+00 
96 60, 1 181, 0.000000e+00 
96 60, 1 182, 0.000000e+00 
96 60, 1 183, 0.000000e+00 
96 60, 1 184, 0.000000e+00 
96 60, 1 185, 0.000000e+00 
96 60, 1 186, 0.000000e+00 
96 60, 1 187, 0.000000e+00 
96 60, 1 188, 0.000000e+00 
96 60, 1 189, 0.000000e+00 
96 60, 1 190, 0.000000e+00 
96 60, 1 191, 0.000000e+00 
96 60, 1 192, 0.000000e+00 
96 60, 1 193, 0.000000e+00 
96 60, 1 194, 0.000000e+00 
96 60, 1 195, 0.000000e+00 
96 60, 1 196, 0.000000e+00 
96 60, 1 197, 0.000000e+00 
96 60, 1 198, 0.000000e+00 
96 60, 1 199, 0.000000e+00 
96 60, 2 0, 0.000000e+00 
96 60, 2 1, 0.000000e+00 
96 60, 2 2, 0.000000e+00 
96 60, 2 3, 0.000000e+00 
96 60, 2 4, 0.000000e+00 
96 60, 2 5, 0.000000e+00 
96 60, 2 6, 0.000000e+00 
96 60, 2 7, 0.000000e+00 
96 60, 2 8, 0.000000e+00 
96 60, 2 9, 0.000000e+00 
96 60, 2 10, 0.000000e+00 
96 60, 2 11, 0.000000e+00 
96 60, 2 12, 0.000000e+00 
96 60, 2 13, 0.000000e+00 
96 60, 2 14, 0.000000e+00 
96 60, 2 15, 0.000000e+00 
96 60, 2 16, 0.000000e+00 
96 60, 2 17, 0.000000e+00 
96 60, 2 18, 0.000000e+00 
96 60, 2 19, 0.000000e+00 
96 60, 2 20, 0.000000e+00 
96 60, 2 21, 0.000000e+00 
96 60, 2 22, 0.000000e+00 
96 60, 2 23, 0.000000e+00 
96 60, 2 24, 0.000000e+00 
96 60, 2 25, 0.000000e+00 
96 60, 2 26, 0.000000e+00 
96 60, 2 27, 0.000000e+00 
96 60, 2 28, 0.000000e+00 
96 60, 2 29, 0.000000e+00 
96 60, 2 30, 0.000000e+00 
96 60, 2 31, 0.000000e+00 
96 60, 2 32, 0.000000e+00 
96 60, 2 33, 0.000000e+00 
96 60, 2 34, 0.000000e+00 
96 60, 2 35, 0.000000e+00 
96 60, 2 36, 0.000000e+00 
96 60, 2 37, 0.000000e+00 
96 60, 2 38, 0.000000e+00 
96 60, 2 39, 0.000000e+00 
96 60, 2 40, 0.000000e+00 
96 60, 2 41, 0.000000e+00 
96 60, 2 42, 0.000000e+00 
96 60, 2 43, 0.000000e+00 
96 60, 2 44, 0.000000e+00 
96 60, 2 45, 0.000000e+00 
96 60, 2 46, 0.000000e+00 
96 60, 2 47, 0.000000e+00 
96 60, 2 48, 0.000000e+00 
96 60, 2 49, 0.000000e+00 
96 60, 2 50, 0.000000e+00 
96 60, 2 51, 0.000000e+00 
96 60, 2 52, 0.000000e+00 
96 60, 2 53, 0.000000e+00 
96 60, 2 54, 0.000000e+00 
96 60, 2 55, 0.000000e+00 
96 60, 2 56, 0.000000e+00 
96 60, 2 57, 0.000000e+00 
96 60, 2 58, 0.000000e+00 
96 60, 2 59, 0.000000e+00 
96 60, 2 60, 0.000000e+00 
96 60, 2 61, 0.000000e+00 
96 60, 2 62, 0.000000e+00 
96 60, 2 63, 0.000000e+00 
96 60, 2 64, 0.000000e+00 
96 60, 2 65, 0.000000e+00 
96 60, 2 66, 0.000000e+00 
96 60, 2 67, 0.000000e+00 
96 60, 2 68, 0.000000e+00 
96 60, 2 69, 0.000000e+00 
96 60, 2 70, 0.000000e+00 
96 60, 2 71, 0.000000e+00 
96 60, 2 72, 0.000000e+00 
96 60, 2 73, 0.000000e+00 
96 60, 2 74, 0.000000e+00 
96 60, 2 75, 0.000000e+00 
96 60, 2 76, 0.000000e+00 
96 60, 2 77, 0.000000e+00 
96 60, 2 78, 0.000000e+00 
96 60, 2 79, 0.000000e+00 
96 60, 2 80, 0.000000e+00 
96 60, 2 81, 0.000000e+00 
96 60, 2 82, 0.000000e+00 
96 60, 2 83, 0.000000e+00 
96 60, 2 84, 0.000000e+00 
96 60, 2 85, 0.000000e+00 
96 60, 2 86, 0.000000e+00 
96 60, 2 87, 0.000000e+00 
96 60, 2 88, 0.000000e+00 
96 60, 2 89, 0.000000e+00 
96 60, 2 90, 0.000000e+00 
96 60, 2 91, 0.000000e+00 
96 60, 2 92, 0.000000e+00 
96 60, 2 93, 0.000000e+00 
96 60, 2 94, 0.000000e+00 
96 60, 2 95, 0.000000e+00 
96 60, 2 96, 0.000000e+00 
96 60, 2 97, 0.000000e+00 
96 60, 2 98, 0.000000e+00 
96 60, 2 99, 0.000000e+00 
96 60, 2 100, 0.000000e+00 
96 60, 2 101, 0.000000e+00 
96 60, 2 102, 0.000000e+00 
96 60, 2 103, 0.000000e+00 
96 60, 2 104, 0.000000e+00 
96 60, 2 105, 0.000000e+00 
96 60, 2 106, 0.000000e+00 
96 60, 2 107, 0.000000e+00 
96 60, 2 108, 0.000000e+00 
96 60, 2 109, 0.000000e+00 
96 60, 2 110, 0.000000e+00 
96 60, 2 111, 0.000000e+00 
96 60, 2 112, 0.000000e+00 
96 60, 2 113, 0.000000e+00 
96 60, 2 114, 0.000000e+00 
96 60, 2 115, 0.000000e+00 
96 60, 2 116, 0.000000e+00 
96 60, 2 117, 0.000000e+00 
96 60, 2 118, 0.000000e+00 
96 60, 2 119, 0.000000e+00 
96 60, 2 120, 0.000000e+00 
96 60, 2 121, 0.000000e+00 
96 60, 2 122, 0.000000e+00 
96 60, 2 123, 0.000000e+00 
96 60, 2 124, 0.000000e+00 
96 60, 2 125, 0.000000e+00 
96 60, 2 126, 0.000000e+00 
96 60, 2 127, 0.000000e+00 
96 60, 2 128, 0.000000e+00 
96 60, 2 129, 0.000000e+00 
96 60, 2 130, 0.000000e+00 
96 60, 2 131, 0.000000e+00 
96 60, 2 132, 0.000000e+00 
96 60, 2 133, 0.000000e+00 
96 60, 2 134, 0.000000e+00 
96 60, 2 135, 0.000000e+00 
96 60, 2 136, 0.000000e+00 
96 60, 2 137, 0.000000e+00 
96 60, 2 138, 0.000000e+00 
96 60, 2 139, 0.000000e+00 
96 60, 2 140, 0.000000e+00 
96 60, 2 141, 0.000000e+00 
96 60, 2 142, 0.000000e+00 
96 60, 2 143, 0.000000e+00 
96 60, 2 144, 0.000000e+00 
96 60, 2 145, 0.000000e+00 
96 60, 2 146, 0.000000e+00 
96 60, 2 147, 0.000000e+00 
96 60, 2 148, 0.000000e+00 
96 60, 2 149, 0.000000e+00 
96 60, 2 150, 0.000000e+00 
96 60, 2 151, 0.000000e+00 
96 60, 2 152, 0.000000e+00 
96 60, 2 153, 0.000000e+00 
96 60, 2 154, 0.000000e+00 
96 60, 2 155, 0.000000e+00 
96 60, 2 156, 0.000000e+00 
96 60, 2 157, 0.000000e+00 
96 60, 2 158, 0.000000e+00 
96 60, 2 159, 0.000000e+00 
96 60, 2 160, 0.000000e+00 
96 60, 2 161, 0.000000e+00 
96 60, 2 162, 0.000000e+00 
96 60, 2 163, 0.000000e+00 
96 60, 2 164, 0.000000e+00 
96 60, 2 165, 0.000000e+00 
96 60, 2 166, 0.000000e+00 
96 60, 2 167, 0.000000e+00 
96 60, 2 168, 0.000000e+00 
96 60, 2 169, 0.000000e+00 
96 60, 2 170, 0.000000e+00 
96 60, 2 171, 0.000000e+00 
96 60, 2 172, 0.000000e+00 
96 60, 2 173, 0.000000e+00 
96 60, 2 174, 0.000000e+00 
96 60, 2 175, 0.000000e+00 
96 60, 2 176, 0.000000e+00 
96 60, 2 177, 0.000000e+00 
96 60, 2 178, 0.000000e+00 
96 60, 2 179, 0.000000e+00 
96 60, 2 180, 0.000000e+00 
96 60, 2 181, 0.000000e+00 
96 60, 2 182, 0.000000e+00 
96 60, 2 183, 0.000000e+00 
96 60, 2 184, 0.000000e+00 
96 60, 2 185, 0.000000e+00 
96 60, 2 186, 0.000000e+00 
96 60, 2 187, 0.000000e+00 
96 60, 2 188, 0.000000e+00 
96 60, 2 189, 0.000000e+00 
96 60, 2 190, 0.000000e+00 
96 60, 2 191, 0.000000e+00 
96 60, 2 192, 0.000000e+00 
96 60, 2 193, 0.000000e+00 
96 60, 2 194, 0.000000e+00 
96 60, 2 195, 0.000000e+00 
96 60, 2 196, 0.000000e+00 
96 60, 2 197, 0.000000e+00 
96 60, 2 198, 0.000000e+00 
96 60, 2 199, 0.000000e+00 
96 60, 3 0, 0.000000e+00 
96 60, 3 1, 0.000000e+00 
96 60, 3 2, 0.000000e+00 
96 60, 3 3, 0.000000e+00 
96 60, 3 4, 0.000000e+00 
96 60, 3 5, 0.000000e+00 
96 60, 3 6, 0.000000e+00 
96 60, 3 7, 0.000000e+00 
96 60, 3 8, 0.000000e+00 
96 60, 3 9, 0.000000e+00 
96 60, 3 10, 0.000000e+00 
96 60, 3 11, 0.000000e+00 
96 60, 3 12, 0.000000e+00 
96 60, 3 13, 0.000000e+00 
96 60, 3 14, 0.000000e+00 
96 60, 3 15, 0.000000e+00 
96 60, 3 16, 0.000000e+00 
96 60, 3 17, 0.000000e+00 
96 60, 3 18, 0.000000e+00 
96 60, 3 19, 0.000000e+00 
96 60, 3 20, 0.000000e+00 
96 60, 3 21, 0.000000e+00 
96 60, 3 22, 0.000000e+00 
96 60, 3 23, 0.000000e+00 
96 60, 3 24, 0.000000e+00 
96 60, 3 25, 0.000000e+00 
96 60, 3 26, 0.000000e+00 
96 60, 3 27, 0.000000e+00 
96 60, 3 28, 0.000000e+00 
96 60, 3 29, 0.000000e+00 
96 60, 3 30, 0.000000e+00 
96 60, 3 31, 0.000000e+00 
96 60, 3 32, 0.000000e+00 
96 60, 3 33, 0.000000e+00 
96 60, 3 34, 0.000000e+00 
96 60, 3 35, 0.000000e+00 
96 60, 3 36, 0.000000e+00 
96 60, 3 37, 0.000000e+00 
96 60, 3 38, 0.000000e+00 
96 60, 3 39, 0.000000e+00 
96 60, 3 40, 0.000000e+00 
96 60, 3 41, 0.000000e+00 
96 60, 3 42, 0.000000e+00 
96 60, 3 43, 0.000000e+00 
96 60, 3 44, 0.000000e+00 
96 60, 3 45, 0.000000e+00 
96 60, 3 46, 0.000000e+00 
96 60, 3 47, 0.000000e+00 
96 60, 3 48, 0.000000e+00 
96 60, 3 49, 0.000000e+00 
96 60, 3 50, 0.000000e+00 
96 60, 3 51, 0.000000e+00 
96 60, 3 52, 0.000000e+00 
96 60, 3 53, 0.000000e+00 
96 60, 3 54, 0.000000e+00 
96 60, 3 55, 0.000000e+00 
96 60, 3 56, 0.000000e+00 
96 60, 3 57, 0.000000e+00 
96 60, 3 58, 0.000000e+00 
96 60, 3 59, 0.000000e+00 
96 60, 3 60, 0.000000e+00 
96 60, 3 61, 0.000000e+00 
96 60, 3 62, 0.000000e+00 
96 60, 3 63, 0.000000e+00 
96 60, 3 64, 0.000000e+00 
96 60, 3 65, 0.000000e+00 
96 60, 3 66, 0.000000e+00 
96 60, 3 67, 0.000000e+00 
96 60, 3 68, 0.000000e+00 
96 60, 3 69, 0.000000e+00 
96 60, 3 70, 0.000000e+00 
96 60, 3 71, 0.000000e+00 
96 60, 3 72, 0.000000e+00 
96 60, 3 73, 0.000000e+00 
96 60, 3 74, 0.000000e+00 
96 60, 3 75, 0.000000e+00 
96 60, 3 76, 0.000000e+00 
96 60, 3 77, 0.000000e+00 
96 60, 3 78, 0.000000e+00 
96 60, 3 79, 0.000000e+00 
96 60, 3 80, 0.000000e+00 
96 60, 3 81, 0.000000e+00 
96 60, 3 82, 0.000000e+00 
96 60, 3 83, 0.000000e+00 
96 60, 3 84, 0.000000e+00 
96 60, 3 85, 0.000000e+00 
96 60, 3 86, 0.000000e+00 
96 60, 3 87, 0.000000e+00 
96 60, 3 88, 0.000000e+00 
96 60, 3 89, 0.000000e+00 
96 60, 3 90, 0.000000e+00 
96 60, 3 91, 0.000000e+00 
96 60, 3 92, 0.000000e+00 
96 60, 3 93, 0.000000e+00 
96 60, 3 94, 0.000000e+00 
96 60, 3 95, 0.000000e+00 
96 60, 3 96, 0.000000e+00 
96 60, 3 97, 0.000000e+00 
96 60, 3 98, 0.000000e+00 
96 60, 3 99, 0.000000e+00 
96 60, 3 100, 0.000000e+00 
96 60, 3 101, 0.000000e+00 
96 60, 3 102, 0.000000e+00 
96 60, 3 103, 0.000000e+00 
96 60, 3 104, 0.000000e+00 
96 60, 3 105, 0.000000e+00 
96 60, 3 106, 0.000000e+00 
96 60, 3 107, 0.000000e+00 
96 60, 3 108, 0.000000e+00 
96 60, 3 109, 0.000000e+00 
96 60, 3 110, 0.000000e+00 
96 60, 3 111, 0.000000e+00 
96 60, 3 112, 0.000000e+00 
96 60, 3 113, 0.000000e+00 
96 60, 3 114, 0.000000e+00 
96 60, 3 115, 0.000000e+00 
96 60, 3 116, 0.000000e+00 
96 60, 3 117, 0.000000e+00 
96 60, 3 118, 0.000000e+00 
96 60, 3 119, 0.000000e+00 
96 60, 3 120, 0.000000e+00 
96 60, 3 121, 0.000000e+00 
96 60, 3 122, 0.000000e+00 
96 60, 3 123, 0.000000e+00 
96 60, 3 124, 0.000000e+00 
96 60, 3 125, 0.000000e+00 
96 60, 3 126, 0.000000e+00 
96 60, 3 127, 0.000000e+00 
96 60, 3 128, 0.000000e+00 
96 60, 3 129, 0.000000e+00 
96 60, 3 130, 0.000000e+00 
96 60, 3 131, 0.000000e+00 
96 60, 3 132, 0.000000e+00 
96 60, 3 133, 0.000000e+00 
96 60, 3 134, 0.000000e+00 
96 60, 3 135, 0.000000e+00 
